image1,image2,predicted_label,true_label,similarity
dataset/Task_B/val/Hank_Aaron/Hank_Aaron_0001.jpg,dataset/Task_B/val/Hank_Aaron/distortion/Hank_Aaron_0001_resized.jpg,1,1,0.9715126752853394
dataset/Task_B/val/Hank_Aaron/Hank_Aaron_0001.jpg,dataset/Task_B/val/Hank_Aaron/distortion/Hank_Aaron_0001_noisy.jpg,0,1,0.4784051179885864
dataset/Task_B/val/Hank_Aaron/Hank_Aaron_0001.jpg,dataset/Task_B/val/Hank_Aaron/distortion/Hank_Aaron_0001_sunny.jpg,0,1,0.40352365374565125
dataset/Task_B/val/Hank_Aaron/Hank_Aaron_0001.jpg,dataset/Task_B/val/Hank_Aaron/distortion/Hank_Aaron_0001_blurred.jpg,1,1,0.7855469584465027
dataset/Task_B/val/Hank_Aaron/Hank_Aaron_0001.jpg,dataset/Task_B/val/Hank_Aaron/distortion/Hank_Aaron_0001_lowlight.jpg,1,1,0.9248456954956055
dataset/Task_B/val/Hank_Aaron/Hank_Aaron_0001.jpg,dataset/Task_B/val/Hank_Aaron/distortion/Hank_Aaron_0001_foggy.jpg,1,1,0.8638765811920166
dataset/Task_B/val/Hank_Aaron/Hank_Aaron_0001.jpg,dataset/Task_B/val/Hank_Aaron/distortion/Hank_Aaron_0001_rainy.jpg,1,1,0.7608482241630554
dataset/Task_B/val/Hank_Aaron/distortion/Hank_Aaron_0001_resized.jpg,dataset/Task_B/val/Hank_Aaron/distortion/Hank_Aaron_0001_noisy.jpg,1,1,0.5293787121772766
dataset/Task_B/val/Hank_Aaron/distortion/Hank_Aaron_0001_resized.jpg,dataset/Task_B/val/Hank_Aaron/distortion/Hank_Aaron_0001_sunny.jpg,0,1,0.4513624906539917
dataset/Task_B/val/Hank_Aaron/distortion/Hank_Aaron_0001_resized.jpg,dataset/Task_B/val/Hank_Aaron/distortion/Hank_Aaron_0001_blurred.jpg,1,1,0.8590869903564453
dataset/Task_B/val/Hank_Aaron/distortion/Hank_Aaron_0001_resized.jpg,dataset/Task_B/val/Hank_Aaron/distortion/Hank_Aaron_0001_lowlight.jpg,1,1,0.9159038066864014
dataset/Task_B/val/Hank_Aaron/distortion/Hank_Aaron_0001_resized.jpg,dataset/Task_B/val/Hank_Aaron/distortion/Hank_Aaron_0001_foggy.jpg,1,1,0.8412221074104309
dataset/Task_B/val/Hank_Aaron/distortion/Hank_Aaron_0001_resized.jpg,dataset/Task_B/val/Hank_Aaron/distortion/Hank_Aaron_0001_rainy.jpg,1,1,0.7464913129806519
dataset/Task_B/val/Hank_Aaron/distortion/Hank_Aaron_0001_noisy.jpg,dataset/Task_B/val/Hank_Aaron/distortion/Hank_Aaron_0001_sunny.jpg,1,1,0.6496690511703491
dataset/Task_B/val/Hank_Aaron/distortion/Hank_Aaron_0001_noisy.jpg,dataset/Task_B/val/Hank_Aaron/distortion/Hank_Aaron_0001_blurred.jpg,1,1,0.6994060277938843
dataset/Task_B/val/Hank_Aaron/distortion/Hank_Aaron_0001_noisy.jpg,dataset/Task_B/val/Hank_Aaron/distortion/Hank_Aaron_0001_lowlight.jpg,1,1,0.5425279140472412
dataset/Task_B/val/Hank_Aaron/distortion/Hank_Aaron_0001_noisy.jpg,dataset/Task_B/val/Hank_Aaron/distortion/Hank_Aaron_0001_foggy.jpg,1,1,0.5181868076324463
dataset/Task_B/val/Hank_Aaron/distortion/Hank_Aaron_0001_noisy.jpg,dataset/Task_B/val/Hank_Aaron/distortion/Hank_Aaron_0001_rainy.jpg,0,1,0.4718242287635803
dataset/Task_B/val/Hank_Aaron/distortion/Hank_Aaron_0001_sunny.jpg,dataset/Task_B/val/Hank_Aaron/distortion/Hank_Aaron_0001_blurred.jpg,1,1,0.6100298166275024
dataset/Task_B/val/Hank_Aaron/distortion/Hank_Aaron_0001_sunny.jpg,dataset/Task_B/val/Hank_Aaron/distortion/Hank_Aaron_0001_lowlight.jpg,0,1,0.49600300192832947
dataset/Task_B/val/Hank_Aaron/distortion/Hank_Aaron_0001_sunny.jpg,dataset/Task_B/val/Hank_Aaron/distortion/Hank_Aaron_0001_foggy.jpg,1,1,0.5211161375045776
dataset/Task_B/val/Hank_Aaron/distortion/Hank_Aaron_0001_sunny.jpg,dataset/Task_B/val/Hank_Aaron/distortion/Hank_Aaron_0001_rainy.jpg,0,1,0.4416210949420929
dataset/Task_B/val/Hank_Aaron/distortion/Hank_Aaron_0001_blurred.jpg,dataset/Task_B/val/Hank_Aaron/distortion/Hank_Aaron_0001_lowlight.jpg,1,1,0.8055882453918457
dataset/Task_B/val/Hank_Aaron/distortion/Hank_Aaron_0001_blurred.jpg,dataset/Task_B/val/Hank_Aaron/distortion/Hank_Aaron_0001_foggy.jpg,1,1,0.7462888360023499
dataset/Task_B/val/Hank_Aaron/distortion/Hank_Aaron_0001_blurred.jpg,dataset/Task_B/val/Hank_Aaron/distortion/Hank_Aaron_0001_rainy.jpg,1,1,0.6113798022270203
dataset/Task_B/val/Hank_Aaron/distortion/Hank_Aaron_0001_lowlight.jpg,dataset/Task_B/val/Hank_Aaron/distortion/Hank_Aaron_0001_foggy.jpg,1,1,0.9061352014541626
dataset/Task_B/val/Hank_Aaron/distortion/Hank_Aaron_0001_lowlight.jpg,dataset/Task_B/val/Hank_Aaron/distortion/Hank_Aaron_0001_rainy.jpg,1,1,0.8172475099563599
dataset/Task_B/val/Hank_Aaron/distortion/Hank_Aaron_0001_foggy.jpg,dataset/Task_B/val/Hank_Aaron/distortion/Hank_Aaron_0001_rainy.jpg,1,1,0.7665610313415527
dataset/Task_B/val/052_frontal/052_frontal.jpg,dataset/Task_B/val/052_frontal/distortion/052_frontal_sunny.jpg,1,1,0.5278162956237793
dataset/Task_B/val/052_frontal/052_frontal.jpg,dataset/Task_B/val/052_frontal/distortion/052_frontal_foggy.jpg,1,1,0.8484760522842407
dataset/Task_B/val/052_frontal/052_frontal.jpg,dataset/Task_B/val/052_frontal/distortion/052_frontal_rainy.jpg,1,1,0.7990173101425171
dataset/Task_B/val/052_frontal/052_frontal.jpg,dataset/Task_B/val/052_frontal/distortion/052_frontal_resized.jpg,1,1,0.9818990230560303
dataset/Task_B/val/052_frontal/052_frontal.jpg,dataset/Task_B/val/052_frontal/distortion/052_frontal_lowlight.jpg,1,1,0.933435320854187
dataset/Task_B/val/052_frontal/052_frontal.jpg,dataset/Task_B/val/052_frontal/distortion/052_frontal_blurred.jpg,1,1,0.9263737201690674
dataset/Task_B/val/052_frontal/052_frontal.jpg,dataset/Task_B/val/052_frontal/distortion/052_frontal_noisy.jpg,1,1,0.6883524656295776
dataset/Task_B/val/052_frontal/distortion/052_frontal_sunny.jpg,dataset/Task_B/val/052_frontal/distortion/052_frontal_foggy.jpg,1,1,0.5389466285705566
dataset/Task_B/val/052_frontal/distortion/052_frontal_sunny.jpg,dataset/Task_B/val/052_frontal/distortion/052_frontal_rainy.jpg,1,1,0.5757474899291992
dataset/Task_B/val/052_frontal/distortion/052_frontal_sunny.jpg,dataset/Task_B/val/052_frontal/distortion/052_frontal_resized.jpg,0,1,0.49598145484924316
dataset/Task_B/val/052_frontal/distortion/052_frontal_sunny.jpg,dataset/Task_B/val/052_frontal/distortion/052_frontal_lowlight.jpg,0,1,0.49245527386665344
dataset/Task_B/val/052_frontal/distortion/052_frontal_sunny.jpg,dataset/Task_B/val/052_frontal/distortion/052_frontal_blurred.jpg,0,1,0.44649839401245117
dataset/Task_B/val/052_frontal/distortion/052_frontal_sunny.jpg,dataset/Task_B/val/052_frontal/distortion/052_frontal_noisy.jpg,0,1,0.49697160720825195
dataset/Task_B/val/052_frontal/distortion/052_frontal_foggy.jpg,dataset/Task_B/val/052_frontal/distortion/052_frontal_rainy.jpg,1,1,0.7771377563476562
dataset/Task_B/val/052_frontal/distortion/052_frontal_foggy.jpg,dataset/Task_B/val/052_frontal/distortion/052_frontal_resized.jpg,1,1,0.8576239943504333
dataset/Task_B/val/052_frontal/distortion/052_frontal_foggy.jpg,dataset/Task_B/val/052_frontal/distortion/052_frontal_lowlight.jpg,1,1,0.847337007522583
dataset/Task_B/val/052_frontal/distortion/052_frontal_foggy.jpg,dataset/Task_B/val/052_frontal/distortion/052_frontal_blurred.jpg,1,1,0.8484764695167542
dataset/Task_B/val/052_frontal/distortion/052_frontal_foggy.jpg,dataset/Task_B/val/052_frontal/distortion/052_frontal_noisy.jpg,1,1,0.6108531951904297
dataset/Task_B/val/052_frontal/distortion/052_frontal_rainy.jpg,dataset/Task_B/val/052_frontal/distortion/052_frontal_resized.jpg,1,1,0.7586961388587952
dataset/Task_B/val/052_frontal/distortion/052_frontal_rainy.jpg,dataset/Task_B/val/052_frontal/distortion/052_frontal_lowlight.jpg,1,1,0.8117943406105042
dataset/Task_B/val/052_frontal/distortion/052_frontal_rainy.jpg,dataset/Task_B/val/052_frontal/distortion/052_frontal_blurred.jpg,1,1,0.705081045627594
dataset/Task_B/val/052_frontal/distortion/052_frontal_rainy.jpg,dataset/Task_B/val/052_frontal/distortion/052_frontal_noisy.jpg,1,1,0.7974995374679565
dataset/Task_B/val/052_frontal/distortion/052_frontal_resized.jpg,dataset/Task_B/val/052_frontal/distortion/052_frontal_lowlight.jpg,1,1,0.9242990612983704
dataset/Task_B/val/052_frontal/distortion/052_frontal_resized.jpg,dataset/Task_B/val/052_frontal/distortion/052_frontal_blurred.jpg,1,1,0.9724555015563965
dataset/Task_B/val/052_frontal/distortion/052_frontal_resized.jpg,dataset/Task_B/val/052_frontal/distortion/052_frontal_noisy.jpg,1,1,0.644766628742218
dataset/Task_B/val/052_frontal/distortion/052_frontal_lowlight.jpg,dataset/Task_B/val/052_frontal/distortion/052_frontal_blurred.jpg,1,1,0.8925889730453491
dataset/Task_B/val/052_frontal/distortion/052_frontal_lowlight.jpg,dataset/Task_B/val/052_frontal/distortion/052_frontal_noisy.jpg,1,1,0.6798995137214661
dataset/Task_B/val/052_frontal/distortion/052_frontal_blurred.jpg,dataset/Task_B/val/052_frontal/distortion/052_frontal_noisy.jpg,1,1,0.5957071185112
dataset/Task_B/val/Duane_Lee_Chapman/Duane_Lee_Chapman_0001.jpg,dataset/Task_B/val/Duane_Lee_Chapman/Duane_Lee_Chapman_0002.jpg,1,1,0.6899889707565308
dataset/Task_B/val/Duane_Lee_Chapman/Duane_Lee_Chapman_0001.jpg,dataset/Task_B/val/Duane_Lee_Chapman/distortion/Duane_Lee_Chapman_0001_blurred.jpg,1,1,0.9153358936309814
dataset/Task_B/val/Duane_Lee_Chapman/Duane_Lee_Chapman_0001.jpg,dataset/Task_B/val/Duane_Lee_Chapman/distortion/Duane_Lee_Chapman_0001_rainy.jpg,1,1,0.8244823813438416
dataset/Task_B/val/Duane_Lee_Chapman/Duane_Lee_Chapman_0001.jpg,dataset/Task_B/val/Duane_Lee_Chapman/distortion/Duane_Lee_Chapman_0001_sunny.jpg,1,1,0.6304246187210083
